"subjid","cadre_id","status","selpa_final","district_final","district_size","role","job_title","gender","ethnicity","race","age","socio_disadvantaged_percentage","performance_score_avg","exp_asd","years_participation","ebp_use_primary_quality_outcome","ebp_use_secondary_quality_outcocme","ebp_use_tertiary_quality_outcome","pct_correct_avg","pct_fidelity_avg","primary_pct_cor","primary_pct_fid","ebp_res_partnership_avg","ebp_res_strategic_planning_avg","ebp_res_org_capacity_avg","ebp_res_total","use_data","ics_focus_ebp","ics_edu_support","ics_recog_ebp","ics_rewards_ebp","ics_selection_ebp","ics_selection_open","ics_exist_sup_ebp","ics_exist_use_data","ics_total","ics_total_narm"
"CAP1025",NA,"Eligible","Placer SELPA",NA,NA,"Administrator","Specialist",NA,NA,NA,NA,0.34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1026",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1027",NA,"Eligible","San Diego City Unified SELPA","San Diego Unified",104801,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.59,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1028",NA,"Eligible","East San Gabriel Valley SELPA","Charter Oak Unified",4765,"DSP","Special Education Teacher (serving on a single school site)","Female","Decline to answer","Decline to answer","Decline to answer",0.58,NA,3,NA,1.75,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,9,3,0,0,6,4,4,34,34
"CAP1029",NA,"Eligible","Yolo County SELPA","Woodland Joint Unified",9770,"Specialist","Program Specialist","Female","No","White","25 - 34",0.55,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,8,6,5,4,5,6,6,5,45,45
"CAP1030",NA,"Eligible","San Diego North Coastal SELPA","Encinitas Union Elementary",5350,"Director","Director of Special Education","Female","Yes","White","45 - 54",0.43,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,9,9,8,2,9,9,9,8,63,63
"CAP1031",NA,"Eligible","Clovis SELPA","Clovis Unified",42741,"Administrator","Coordinator","Female","No","White","55 - 64",0.43,NA,3,4,NA,NA,NA,NA,NA,NA,NA,5,6.2,6.6,89,0,11,12,12,3,9,12,12,12,83,83
"CAP1032",NA,"Eligible","Fresno County SELPA","Coalinga-Huron Unified",4450,"Director","Director of Special Education","Female","Yes","White","45 - 54",0.81,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,6,6,6,6,7,9,7,8,55,55
"CAP1033",NA,"Eligible","East County San Diego SELPA","La Mesa-Spring Valley",12326,"Director","Director of Special Education","Female","No","White","45 - 54",0.58,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1.4,4.8,37,0,3,8,12,1,7,12,10,6,59,59
"CAP1034",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"Director","Director of Special Education","Female","No","White","45 - 54",0.55,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,7,5,6,1,6,6,6,8,45,45
"CAP1035",NA,"Eligible","Humboldt-Del Norte SELPA","Klamath-Trinity Joint Unified",1001,"Director","Director of Special Education","Male","No","White","55 - 64",0.62,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,0,0,0,0,0,0,0,1,1
"CAP1036",NA,"Eligible","Humboldt-Del Norte SELPA","Fortuna Union High",1080,"Director","Director of Special Education","Female","No","White","35 - 44",0.62,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1.8,3.4,36,0,NA,12,8,1,6,12,7,6,NA,52
"CAP1037",NA,"Eligible","Mid-Alameda County SELPA","Hayward Unified",20429,"Director","Director of Special Education","Female","No","White","45 - 54",0.61,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,0,2,3,5,6,0,4,3,4,27,27
"CAP1038",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.55,NA,3,NA,2,2,2,0.5,0.98,0,100,NA,NA,NA,NA,1,4,0,6,1,3,5,1,0,20,20
"CAP1039",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Assistive Technology Specialist","Female","No","White","55 - 64",0.55,NA,1,NA,3.25,1.75,2,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,5,4,9,9,3,6,50,50
"CAP1040",NA,"Eligible","Santa Barbara SELPA","Santa Barbara Unified",13717,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.68,NA,2,NA,1,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1041",NA,"Eligible","Santa Clara County SELPA IV","San Jose Unified",29738,"Specialist","Specialist","Female","No","White","45 - 54",0.46,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,0,5,2,5,1,2,3,8,5,31,31
"CAP1042",NA,"Eligible","Poway Unified SELPA","Poway Unified",36519,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","25 - 34",0.18,NA,3,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,5,NA,NA,NA,NA,NA,21
"CAP1043",NA,"Eligible","Sacramento County SELPA","Galt Joint Union Elementary",3639,"Specialist","Program Specialist","Female","No","White","35 - 44",0.67,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,0,6,5,9,0,4,9,7,12,52,52
"CAP1044",NA,"Eligible","Shasta County SELPA","Shasta County Office of Education",NA,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.58,NA,3,NA,1.25,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,9,2,1,12,0,0,29,29
"CAP1045",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)","Male","Decline to answer","Decline to answer","25 - 34",0.55,NA,3,NA,2,2,2,0.64,0.53,66.67,63.16,NA,NA,NA,NA,1,10,7,12,2,6,10,10,6,63,63
"CAP1046",NA,"Eligible","Poway Unified SELPA","Poway Unified",36519,"DSP","Paraprofessional","Female","No","White","25 - 34",0.18,NA,2,NA,3.25,3.5,2.75,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,1,0,1,0,3,8,8
"CAP1047",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.55,NA,3,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1048",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)","Female","No","Decline to answer","25 - 34",0.55,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,4,0,0,5,5
"CAP1049",NA,"Eligible","Yolo County SELPA","Woodland Joint Unified",9770,"DSP","Special Education Teacher (serving on a single school site)","Female","Yes","White","25 - 34",0.55,NA,3,NA,2.25,1.75,0.75,0.7,0.08,60,25,NA,NA,NA,NA,1,2,3,3,0,0,11,0,0,19,19
"CAP1050",NA,"Eligible","San Diego North Coastal SELPA","Del Mar Union Elementary",4453,"DSP","Itinerant Special Education Teacher (serving multiple school sites)","Female","No","White","45 - 54",0.43,NA,2,NA,1.75,1.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8,10,8,0,9,12,11,16,74,74
"CAP1051",NA,"Eligible","Solano County SELPA","Benicia Unified",4787,"DSP","Psychologist",NA,NA,NA,NA,0.49,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1052",NA,"Eligible","Sonoma County SELPA","Santa Rosa Elementary",14973,"Specialist","Behavior Specialist","Female","No","White","25 - 34",0.51,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,0,3,4,4,3,3,3,2,2,24,24
"CAP1053",NA,"Eligible","Kern County Consortium SELPA","Di Giorgio Elementary",211,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.74,NA,2,NA,2,2,2,0.53,0.96,75,100,NA,NA,NA,NA,1,5,2,4,0,0,6,0,8,25,25
"CAP1054",NA,"Eligible","Butte County SELPA","Chico Unified",12203,"Director","Director of Special Education","Female","Yes","2 or more of the above","55 - 64",0.59,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,0,11,11,10,1,3,12,7,7,62,62
"CAP1055",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","65 - 74",0.55,NA,2,NA,2.75,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,5,0,1,6,6
"CAP1056",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1057",NA,"Eligible","San Benito County SELPA",NA,NA,"Director","Director of Special Education","Male","No","White","45 - 54",0.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,0,10,7,4.5,0,6,6,4,4,41.5,41.5
"CAP1058",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.55,NA,3,NA,2.75,3.25,2.75,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,7,2,NA,NA,NA,NA,NA,26
"CAP1059",NA,"Eligible","Butte County SELPA","Chico Unified",12203,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.59,NA,3,NA,3.75,3.75,3.75,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1061",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1062",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1063",NA,"Eligible","West End SELPA","Chino Valley Unified",28141,"Director","Director of Special Education","Female","No","White","55 - 64",0.53,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.4,4.8,47,0,7,10,7,2,7,12,9,8,62,62
"CAP1064",NA,"Eligible","Imperial County SELPA","Meadows Union Elementary",503,"DSP","Special Education Teacher (serving on a single school site)","Male","Yes","White","25 - 34",0.77,NA,2,NA,1.5,1.5,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,4,3,5,5,1,0,26,26
"CAP1065",NA,"Eligible","Butte County SELPA","Chico Unified",12203,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.59,NA,3,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1066",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1067",NA,"Eligible","Desert / Mountain SELPA","Victor Valley Union High",10261,"Director","Director of Special Education","Female","No","Black, African American","45 - 54",0.76,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,7,5,0,0,NA,NA,NA,0,NA,12
"CAP1068",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1069",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP107","CC0185","Eligible","Antelope Valley SELPA","Palmdale Elementary",18693,"Administrator","Specialist","Female","No","White","25 - 34",0.78,72,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,0,5,5,4,0,2,5,0,4,25,25
"CAP1070",NA,"Eligible","Mid Cities SELPA","Lynwood Unified",14211,"Director","Director of Special Education","Male","Yes","American Indian or Alaskan Native","35 - 44",0.86,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,0,3,4,3,3,3,3,3,4,26,26
"CAP1071",NA,"Eligible","Los Angeles Unified SELPA","Los Angeles Unified",467007,"DSP","Itinerant Special Education Teacher (serving multiple school sites)","Female","Yes","White","35 - 44",0.86,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,6,6,6,6,6,6,6,8,50,50
"CAP1072",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1073",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)","Male","No","White","55 - 64",0.55,NA,3,NA,2.75,3.75,3.75,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,4,6,6,8,8,8,54,54
"CAP1074",NA,"Eligible","Butte County SELPA","Chico Unified",12203,"DSP","SLP/SLPA","Female","No","White","55 - 64",0.59,NA,3,NA,1.5,1.75,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,6,4,5,8,0,4,31,31
"CAP1075",NA,"Eligible","Kern County Consortium SELPA","Taft City",2327,"Director","Director of Special Education","Female","Yes","White","35 - 44",0.74,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2.6,3.4,45,0,8,6,9,3,6,9,7,9,57,57
"CAP1076",NA,"Eligible","San Diego South County SELPA","San Ysidro Elementary",4733,"Director","Director of Special Education","Male","Yes","Other","35 - 44",0.59,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,0,5,9,9,9,9,9,9,12,71,71
"CAP1077",NA,"Eligible","West San Gabriel Valley SELPA","San Marino Unified",3072,"Director","Director of Special Education","Female","Yes","2 or more of the above","35 - 44",0.61,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,0,1,3,5,0,3,7,2,2,23,23
"CAP1078",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.55,NA,2,NA,1.75,1.25,NA,0.5,0.82,50,82.35,NA,NA,NA,NA,1,4,3,10,4,8,3,3,4,39,39
"CAP1079",NA,"Eligible","Irvine Unified SELPA","Irvine Unified",35617,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","25 - 34",0.19,NA,3,NA,3.5,3.75,2.75,0.48,0.92,60,95.83,NA,NA,NA,NA,1,6,3,4,0,5,6,2,1,27,27
"CAP108","CC0161","Eligible","Santa Barbara SELPA","Santa Maria-Bonita",17122,"Specialist","Behavior/Autism Specialist","Female","No","White","35 - 44",0.68,27.67,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,0,1,1,2,0,0,3,0,0,7,7
"CAP1080",NA,"Eligible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1081",NA,"Eligible","Napa County SELPA","Napa Valley Unified",16750,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","55 - 64",0.55,NA,3,NA,2,2.75,3.25,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,0,0,0,6,3,2,21,21
"CAP1082",NA,"Eligible","Riverside County SELPA","Desert Sands Unified",26468,"Director","Director of Special Education",NA,NA,NA,NA,0.74,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1083",NA,"Eligible","San Luis Obispo SELPA","Coast Unified",606,"Director","Director of Special Education","Male","No","White","35 - 44",0.43,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,40,0,6,6,6,6,6,6,6,8,50,50
"CAP1084",NA,"Eligible","Butte County SELPA","Chico Unified",12203,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.59,NA,3,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3,6,0,3,3,1,0,16,16
"CAP1085",NA,"Eligible","Yolo County SELPA","Winters Joint Unified",1531,"DSP","SLP/SLPA",NA,NA,NA,NA,0.55,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAP1086",NA,"Eligible","Kern County Consortium SELPA","Arvin Union",3050,"Director","Director of Special Education","Female","No","White","45 - 54",0.74,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,0,9,9,7,0,4,9,9,10,57,57
"CAP1087",NA,"Eligible","Tulare County SELPA","Earlimart Elementary",1833,"Director","Director of Special Education","Female","No","White","55 - 64",0.78,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,3,3,NA,NA,NA,NA,NA,12
"CAP1088",NA,"Eligible","WACSEP (Whittier Area Co-op SELPA)","Little Lake City Elementary",4475,"Director","Director of Special Education","Male","Yes","White","45 - 54",0.7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4,2.4,4,49,0,2,4,4,2,4,8,6,8,38,38
"CAP1089",NA,"Eligible","Contra Costa SELPA","Brentwood Union Elementary",9049,"Director","Director of Special Education","Male","No","White","45 - 54",0.43,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.2,2.8,34,0,4,5,4,3,5,6,6,5,38,38
"CAP1090",NA,"Eligible","Mendocino SELPA","Gilroy Prep",NA,"DSP","Special Education Teacher (serving on a single school site)","Male","Decline to answer","Decline to answer","35 - 44",0.74,NA,2,NA,1.75,1,1.5,0.7,0.8,60,75,NA,NA,NA,NA,1,6,6,6,6,0,6,0,0,30,30
"CAP1091",NA,"Eligible","Lake County SELPA","Lucerne Elementary",263,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","45 - 54",0.78,NA,1,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,2,2,3,7,3,3,34,34
"CAP1092",NA,"Eligible","Contra Costa SELPA","Brentwood Union Elementary",9049,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","35 - 44",0.43,NA,3,NA,2.75,3.75,2,0.64,0.66,33.33,59.38,NA,NA,NA,NA,1,0,0,0,0,0,9,0,0,9,9
"CAP1093",NA,"Eligible","Monterey County SELPA","Pacific Grove Unified",2091,"DSP","Special Education Teacher (serving on a single school site)","Female","No","White","25 - 34",0.76,NA,3,NA,2.25,2.75,1.75,0.53,0.74,50,64.29,NA,NA,NA,NA,1,3,6,7,2,6,9,1,2,36,36
"CAP1094",NA,"Eligible","Contra Costa SELPA","Brentwood Union Elementary",9049,"DSP","Special Education Teacher (serving on a single school site)",NA,NA,NA,NA,0.43,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
